City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Jinchang,CN,2020-10-07 06:50:59,38.5,102.17,66.58,27,100,6.26
71,Beloslav,BG,2020-10-07 06:50:59,43.18,27.7,71.01,68,7,5.82
72,Saint Anthony,US,2020-10-07 06:51:00,45.02,-93.22,66.99,34,90,10.29
73,Kangaatsiaq,GL,2020-10-07 06:51:00,68.31,-53.46,21.81,94,0,11.86
74,Alihe,CN,2020-10-07 06:51:00,50.57,123.72,48.54,48,4,2.86
75,Horconcitos,PA,2020-10-07 06:51:01,8.47,-81.8,77.0,86,100,1.01
76,Mackay,AU,2020-10-07 06:51:01,-21.15,149.2,77.0,65,75,12.75
77,Kajaani,FI,2020-10-07 06:51:01,64.23,27.73,51.8,100,75,5.82
78,Saint-Francois,FR,2020-10-07 06:51:02,46.42,3.91,53.01,91,100,3.0
79,Khunti,IN,2020-10-07 06:50:55,23.08,85.28,84.2,70,75,6.4
80,Tocopilla,CL,2020-10-07 06:51:02,-22.09,-70.2,57.88,69,0,2.59
81,Yaan,NG,2020-10-07 06:51:03,7.38,8.57,70.81,93,99,6.24
82,Upernavik,GL,2020-10-07 06:51:03,72.79,-56.15,20.12,83,97,5.7
83,Grindavik,IS,2020-10-07 06:51:03,63.84,-22.43,39.2,86,75,2.24
84,Ilulissat,GL,2020-10-07 06:51:04,69.22,-51.1,21.2,53,98,12.75
85,Cape Town,ZA,2020-10-07 06:46:21,-33.93,18.42,62.01,93,75,12.75
86,Acarau,BR,2020-10-07 06:51:05,-2.89,-40.12,75.94,86,51,13.42
87,Susanville,US,2020-10-07 06:51:05,40.42,-120.65,51.8,25,1,4.7
88,Leningradskiy,RU,2020-10-07 06:51:05,69.38,178.42,24.01,89,100,4.76
89,Cherskiy,RU,2020-10-07 06:51:05,68.75,161.3,28.27,92,0,5.79
90,Ust-Tsilma,RU,2020-10-07 06:51:06,65.44,52.15,37.94,74,0,5.1
91,Barrow,US,2020-10-07 06:51:06,71.29,-156.79,30.2,68,90,9.17
92,Clyde River,CA,2020-10-07 06:51:06,70.47,-68.59,32.0,94,90,18.34
93,Djambala,CG,2020-10-07 06:51:07,-2.54,14.75,71.35,89,100,8.32
94,Yellowknife,CA,2020-10-07 06:51:07,62.46,-114.35,39.2,78,90,6.93
95,Yerbogachen,RU,2020-10-07 06:51:07,61.28,108.01,33.89,81,100,18.86
96,Chapais,CA,2020-10-07 06:51:07,49.78,-74.85,46.4,93,90,3.36
97,Marzuq,YE,2020-10-07 06:51:08,14.4,46.47,84.47,21,0,7.05
98,Mishan,CN,2020-10-07 06:51:08,45.55,131.88,53.94,52,25,5.06
99,Nakamura,JP,2020-10-07 06:51:08,32.98,132.93,67.39,84,100,5.57
100,Oriximina,BR,2020-10-07 06:51:08,-1.77,-55.87,74.43,86,87,0.76
101,Faanui,PF,2020-10-07 06:51:08,-16.48,-151.75,78.22,79,4,16.93
102,Lejre,DK,2020-10-07 06:51:09,55.6,11.97,54.0,93,85,6.93
103,Zhuanghe,CN,2020-10-07 06:51:09,39.7,122.99,66.94,51,1,10.69
104,Vostok,RU,2020-10-07 06:51:09,46.49,135.88,43.81,70,1,7.27
105,Orangeburg,US,2020-10-07 06:51:09,33.49,-80.86,66.0,100,1,3.18
106,Nikolskoye,RU,2020-10-07 06:51:10,59.7,30.79,54.0,93,90,4.47
107,Leh,IN,2020-10-07 06:51:10,34.17,77.58,51.42,28,0,5.79
108,Kargala,RU,2020-10-07 06:51:10,56.62,83.96,34.0,93,100,8.46
109,Kampot,KH,2020-10-07 06:51:10,10.62,104.18,86.0,74,40,8.05
110,Fare,PF,2020-10-07 06:51:11,-16.7,-151.02,79.0,77,0,17.87
111,Lasa,IT,2020-10-07 06:51:11,46.62,10.7,53.01,86,40,5.82
112,Olafsvik,IS,2020-10-07 06:51:11,64.89,-23.71,42.69,71,100,2.39
113,Beringovskiy,RU,2020-10-07 06:51:11,63.05,179.32,43.57,94,100,28.05
114,Klaksvik,FO,2020-10-07 06:51:11,62.23,-6.59,46.4,93,100,14.99
115,Waipawa,NZ,2020-10-07 06:51:12,-41.41,175.52,57.2,82,0,6.93
116,Saskylakh,RU,2020-10-07 06:51:12,71.92,114.08,18.1,96,14,8.81
117,Bagado,CO,2020-10-07 06:51:13,5.41,-76.42,75.2,92,100,0.54
118,Severo-Kurilsk,RU,2020-10-07 06:51:13,50.68,156.12,47.86,81,7,20.0
119,Port Alfred,ZA,2020-10-07 06:51:13,-33.59,26.89,68.13,74,85,7.05
120,Acari,PE,2020-10-07 06:51:14,-15.43,-74.62,62.33,64,67,3.8
121,Santa Ana,US,2020-10-07 06:47:25,33.75,-117.87,70.0,82,1,4.7
122,Saltpond,GH,2020-10-07 06:49:36,5.21,-1.06,77.11,88,100,8.34
123,Mount Gambier,AU,2020-10-07 06:51:14,-37.83,140.77,53.6,87,75,8.05
124,Ribeira Grande,PT,2020-10-07 06:51:15,38.52,-28.7,68.0,94,75,3.36
125,Bethel,US,2020-10-07 06:51:15,41.37,-73.41,57.0,76,1,5.41
126,Itarema,BR,2020-10-07 06:51:15,-2.92,-39.92,76.5,84,48,13.49
127,Lompoc,US,2020-10-07 06:47:29,34.64,-120.46,55.4,100,90,5.06
128,Ponta Do Sol,PT,2020-10-07 06:51:16,32.67,-17.1,71.6,78,75,9.17
129,Verkhoyansk,RU,2020-10-07 06:51:16,67.54,133.38,35.2,71,99,5.32
130,Gurlan,UZ,2020-10-07 06:51:16,41.84,60.39,51.8,21,0,9.17
131,Guerrero Negro,MX,2020-10-07 06:51:17,27.98,-114.06,76.14,65,100,9.73
132,Port Elizabeth,ZA,2020-10-07 06:49:12,-33.92,25.57,62.6,88,75,10.29
133,Chokurdakh,RU,2020-10-07 06:51:17,70.63,147.92,28.33,93,83,9.48
134,Cidreira,BR,2020-10-07 06:51:17,-30.18,-50.21,60.69,82,88,9.04
135,Calamar,CO,2020-10-07 06:51:17,10.25,-74.91,75.88,90,27,3.24
136,Huarmey,PE,2020-10-07 06:51:18,-10.07,-78.15,62.53,82,31,3.58
137,Muroto,JP,2020-10-07 06:51:18,33.28,134.15,77.0,50,75,13.87
138,Batagay-Alyta,RU,2020-10-07 06:51:18,67.8,130.41,30.09,79,0,7.07
139,Caravelas,BR,2020-10-07 06:51:18,-17.71,-39.25,73.58,90,28,6.91
140,Hobart,AU,2020-10-07 06:51:19,-42.88,147.33,59.0,67,40,9.17
141,Cleveland,US,2020-10-07 06:46:53,41.5,-81.7,62.6,48,75,19.46
142,Praia Da Vitoria,PT,2020-10-07 06:51:19,38.73,-27.07,69.01,94,20,10.09
143,Port Lincoln,AU,2020-10-07 06:51:19,-34.73,135.87,49.78,85,100,14.23
144,Port Keats,AU,2020-10-07 06:51:20,-14.25,129.55,87.76,54,24,6.67
145,Lebu,CL,2020-10-07 06:51:20,-37.62,-73.65,44.24,77,7,4.32
146,Kijang,KR,2020-10-07 06:51:20,35.24,129.21,73.4,25,20,17.22
147,Noumea,NC,2020-10-07 06:51:20,-22.28,166.46,69.8,83,75,4.7
148,Kiama,AU,2020-10-07 06:51:20,-34.68,150.87,66.0,95,100,4.54
149,Dunedin,NZ,2020-10-07 06:51:15,-45.87,170.5,44.01,77,100,3.0
150,Benalla,AU,2020-10-07 06:51:21,-36.55,145.98,62.6,100,90,5.82
151,Jackson,US,2020-10-07 06:51:21,42.42,-122.83,61.0,44,1,1.07
152,Hilo,US,2020-10-07 06:50:49,19.73,-155.09,80.6,74,90,4.03
153,Turkistan,KZ,2020-10-07 06:51:22,43.0,68.0,58.42,25,0,4.81
154,Road Town,VG,2020-10-07 06:51:22,18.42,-64.62,77.0,78,1,6.93
155,Baghdad,IQ,2020-10-07 06:51:22,33.34,44.4,78.8,34,0,6.93
156,Portland,US,2020-10-07 06:49:56,45.52,-122.68,64.4,72,1,3.36
157,Prince Rupert,CA,2020-10-07 06:51:23,54.32,-130.32,44.6,100,1,4.7
158,Anqing,CN,2020-10-07 06:51:23,30.51,117.05,60.67,80,100,7.67
159,San Lorenzo,PY,2020-10-07 06:51:23,-25.33,-57.53,75.2,50,0,4.7
160,Carnarvon,AU,2020-10-07 06:51:24,-24.87,113.63,71.6,43,0,16.11
161,Touros,BR,2020-10-07 06:51:24,-5.2,-35.46,73.4,94,40,4.7
162,Roald,NO,2020-10-07 06:51:24,62.58,6.13,53.01,93,100,6.93
163,Salalah,OM,2020-10-07 06:51:25,17.02,54.09,84.2,58,75,8.05
