City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Langsa,ID,85.69,light rain,4.47,97.97,OYO 2964 Hotel Ridho
440,Nhulunbuy,AU,87.8,scattered clouds,-12.23,136.77,East Arnhem Real Estate
441,Joshimath,IN,76.12,clear sky,30.57,79.57,Shivalik Camps & Resort
445,Caravelas,BR,75.15,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
448,Sinnamary,GF,78.19,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
452,Hobyo,SO,83.41,overcast clouds,5.35,48.53,Osmani Hotel
456,Sembakung,ID,86.16,moderate rain,3.82,117.25,
459,Abu Ghosh,IL,82.4,few clouds,31.81,35.11,שורש ירוק בהר - Green Hill Suites at Shoresh
462,Ellisras,ZA,84.04,clear sky,-23.66,27.74,Lapa le le guesthouse
464,Itarema,BR,75.2,overcast clouds,-2.92,-39.92,Windvillage
465,Vilhena,BR,78.84,overcast clouds,-12.74,-60.15,Hotel Mirage
469,Kirakira,SB,81.46,few clouds,-10.45,161.92,SanBiz Lodge
470,Santa Rosa,PH,84.99,light intensity shower rain,14.31,121.11,Erlyn’s Sta Rosa City Home
473,Mamallapuram,IN,84.2,heavy intensity rain,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
478,Dingle,PH,84.4,heavy intensity rain,11.0,122.67,Camp Pasica
483,Malindi,KE,84.2,scattered clouds,-3.22,40.12,African House Resort
484,Xai-Xai,MZ,79.14,overcast clouds,-25.05,33.64,Platinum Hotel
487,Hirara,JP,84.2,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
491,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
494,Atar,MR,82.18,clear sky,20.52,-13.05,Oumou Elghoura
497,Chuka,KE,78.96,clear sky,-0.33,37.65,Mountain Breeze Guest House
498,Samarai,PG,79.39,few clouds,-10.62,150.67,Nuli Sapi
499,Bairiki,KI,82.4,overcast clouds,1.33,172.98,Tarawa Boutique Hotel
504,Gweta,BW,86.9,clear sky,-20.18,25.23,Gweta Lodge
510,Canchungo,GW,77.0,clear sky,12.07,-16.03,Hotel Pereira
515,Ler,SS,80.02,scattered clouds,8.3,30.14,
518,Erzin,TR,87.01,clear sky,36.96,36.2,Artemis Otel
520,Bourail,NC,76.89,scattered clouds,-21.57,165.48,Nekweta
521,Berbera,SO,86.83,clear sky,10.44,45.01,Damal Hotel
523,Kozan,TR,87.01,scattered clouds,37.46,35.82,Ortaklar Kiz Ogrenci Yurdu
524,Cabo San Lucas,MX,78.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
525,Pokhara,NP,84.63,clear sky,28.23,83.98,Hotel View Point
533,Adrar,MR,79.9,clear sky,20.5,-10.07,
536,Bintulu,MY,87.8,scattered clouds,3.17,113.03,900 Boutique INN
537,Port Keats,AU,88.7,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
539,Dzaoudzi,YT,84.2,clear sky,-12.79,45.27,Le Rocher
544,Sao Raimundo Das Mangabeiras,BR,77.0,clear sky,-7.02,-45.48,Hotel Tropical
546,Basoko,CD,76.59,broken clouds,1.24,23.62,Flat Hotel La Benediction
548,Pontianak,ID,85.6,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
550,Poum,NC,76.62,clear sky,-20.23,164.02,Gîte kajeon
554,Tomatlan,MX,77.22,overcast clouds,19.93,-105.25,Norma franco
558,Coahuayana,MX,77.29,scattered clouds,18.73,-103.68,Hotel Los Arcos
564,Gao,ML,85.62,broken clouds,16.64,1.64,
568,Anahuac,MX,78.44,clear sky,27.23,-100.15,Rancho Guadalupe
569,Manpur,IN,89.6,haze,22.43,75.62,Dharmendar
570,Tessalit,ML,85.21,clear sky,20.2,1.01,
571,Sao Filipe,CV,80.55,clear sky,14.9,-24.5,Tortuga B&B
578,Marzuq,YE,80.4,few clouds,14.4,46.47,
579,Lucapa,AO,75.92,overcast clouds,-8.42,20.74,Residência Ulisses Dos Santos
585,Sibolga,ID,78.82,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
587,Lahaina,US,80.6,clear sky,20.88,-156.68,Lahaina Shores Beach Resort
588,Trang,TH,87.8,very heavy rain,7.5,99.5,Jelly's House
594,Cap Malheureux,MU,81.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
595,Black River,JM,78.8,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
599,Neiafu,TO,77.0,scattered clouds,-18.65,-173.98,Mystic Sands
600,Harer,ET,75.0,clear sky,9.31,42.13,Amir Cultural Harari Guesthouse
601,Beipiao,CN,76.6,broken clouds,41.79,120.78,Beipiao Hotel
604,Muswellbrook,AU,78.01,clear sky,-32.27,150.9,Wayfarer Motel
608,Panique,PH,82.56,light rain,12.48,122.02,Panique Cove Resort
609,Kampot,KH,84.2,heavy intensity rain,10.62,104.18,Champa Lodge
614,Biltine,TD,89.53,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
616,Maamba,ZM,87.44,clear sky,-17.37,27.15,
618,Faanui,PF,79.18,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
620,Tiarei,PF,80.6,few clouds,-17.53,-149.33,Le Rocher de Tahiti
625,Buala,SB,82.78,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
626,Jega,NG,78.75,broken clouds,12.22,4.38,Jega Guest Inn
627,Kloulklubed,PW,82.4,shower rain,7.04,134.26,Storyboard Beach Resort
628,Anton Lizardo,MX,78.01,light rain,19.05,-95.98,Hotel CocoAventura
629,Wanlaweyn,SO,85.95,broken clouds,2.62,44.89,Haji Qasim Hotel
631,Witu,KE,84.2,clear sky,-2.39,40.44,New City Guest House
633,Sokolo,ML,83.55,clear sky,14.73,-6.12,
634,Oriximina,BR,80.01,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
636,San Policarpo,PH,82.4,moderate rain,12.18,125.51,Zal-Ann Beach Resort
639,Marawi,PH,77.81,light rain,8.0,124.29,Derogongan Residence
640,Abaete,BR,75.11,scattered clouds,-19.16,-45.45,Hotel Millenium
641,Codajas,BR,75.02,few clouds,-3.84,-62.06,Hotel Tamires
644,Naze,JP,82.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
648,Monrovia,LR,77.02,moderate rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
650,Port Blair,IN,82.22,light rain,11.67,92.75,Fortune Resort Bay Island
657,Damaturu,NG,82.71,clear sky,11.75,11.96,Summit Conference Centre
659,Labuhan,ID,85.08,heavy intensity rain,-6.88,112.21,bador sepret
660,Yeppoon,AU,86.0,clear sky,-23.13,150.73,Villa Mar Colina
662,Wanaraja,ID,83.64,overcast clouds,-7.17,107.98,Lita herlita
663,Wattegama,LK,89.6,broken clouds,6.8,81.48,
667,Odweyne,SO,84.81,clear sky,9.41,45.06,Eng Hiirey House
675,Omboue,GA,77.83,overcast clouds,-1.57,9.26,Hotel Olako
680,Katesh,TZ,76.26,scattered clouds,-4.52,35.38,Colt Guest House
681,Bogale,MM,83.77,overcast clouds,16.28,95.4,Aung Pin Lel Guest House
685,Qandala,SO,84.74,broken clouds,11.47,49.87,
687,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
690,Quang Ngai,VN,80.69,light rain,15.12,108.8,Central Hotel
691,Kulhudhuffushi,MV,82.74,overcast clouds,6.62,73.07,Haajy Guest House 1
692,Farafenni,GM,75.4,few clouds,13.57,-15.6,Eddy's Hotel
695,Chalmette,US,79.0,overcast clouds,29.94,-89.96,Marina Motel Chalmette
696,Bridgetown,BB,80.6,shower rain,13.1,-59.62,Hilton Barbados Resort
697,Tambun,ID,89.01,moderate rain,-6.26,107.07,@HOM Premiere Tambun
